words,count
138,30
96,20
69,17
117,8
172,34
140,20
207,13
165,31
416,3
145,35
171,38
177,28
1092,1
118,20
183,25
82,21
230,9
182,22
358,1
362,2
503,3
376,4
378,4
81,15
181,28
9,4
175,27
154,36
64,12
774,1
186,21
74,16
173,27
148,27
111,14
208,13
176,28
151,21
231,10
240,7
188,23
33,5
40,3
147,20
110,15
276,3
197,14
50,11
72,17
135,22
86,18
192,13
193,20
97,21
200,15
706,1
71,15
106,20
166,34
158,34
222,8
700,2
198,13
187,20
44,4
400,4
319,3
60,13
18,4
143,19
15,17
217,12
169,35
2,2
260,6
515,2
142,21
679,1
105,18
190,23
539,3
464,4
128,20
179,30
205,15
139,21
130,22
93,14
258,4
146,30
101,11
594,2
178,20
278,7
729,2
16,13
399,2
92,20
58,9
163,30
108,15
114,21
467,1
104,18
11,16
224,6
405,3
493,1
164,32
850,1
156,22
107,20
113,15
120,16
115,12
167,31
214,11
162,31
415,6
127,30
168,47
70,10
384,2
161,29
149,28
144,26
510,1
174,30
206,12
99,15
133,21
225,6
1982,1
129,15
45,7
471,2
43,9
295,8
12,25
17,9
124,20
85,14
574,2
249,2
530,2
273,3
577,2
131,16
572,2
49,8
6,3
196,13
103,22
13,10
195,16
368,2
47,10
109,19
294,2
617,2
297,3
83,10
520,2
212,10
170,37
67,20
422,4
244,7
480,5
14,16
191,18
160,26
153,29
100,15
152,25
78,28
287,2
271,5
365,3
121,13
155,21
338,4
125,17
84,17
381,4
292,3
316,6
543,2
122,19
112,27
500,2
259,2
126,20
262,4
54,10
329,2
499,1
91,12
632,1
184,17
132,27
116,23
489,4
239,4
220,7
544,2
20,3
573,3
485,3
339,6
95,14
270,7
484,5
242,6
90,18
204,12
119,16
2975,1
424,2
369,1
150,29
29,5
304,5
134,12
53,8
202,10
159,32
355,1
274,4
321,2
199,16
253,2
141,23
256,5
470,4
39,8
87,16
88,15
185,24
211,14
76,18
502,1
317,2
477,1
387,2
61,10
79,9
237,5
311,3
221,4
526,2
238,6
194,23
232,8
51,7
513,1
808,1
391,3
36,6
523,4
1231,1
290,6
98,12
102,19
498,4
38,7
32,6
427,2
267,7
89,10
382,2
313,3
62,16
46,11
555,1
157,25
264,6
507,2
948,2
136,11
389,5
56,3
10,7
55,11
66,10
705,1
52,21
203,13
341,2
703,2
59,15
57,12
123,12
299,2
189,17
41,7
261,6
63,11
1,5
2020,1
444,2
80,18
241,7
413,3
31,10
209,11
180,31
322,4
373,1
77,16
346,2
508,1
1141,1
966,1
94,17
460,1
35,5
308,2
75,16
385,1
65,10
277,6
390,2
255,5
235,3
396,2
421,2
447,3
24,6
291,3
73,13
1511,1
402,2
251,2
459,3
350,2
219,7
8,3
236,7
343,3
324,2
332,2
636,2
455,1
393,2
284,2
591,1
272,2
312,2
847,1
732,1
320,4
409,3
559,2
505,3
27,6
475,2
430,2
248,4
556,1
288,1
266,2
682,1
538,2
216,7
542,2
432,4
367,3
495,2
541,2
486,2
1039,1
37,6
947,1
606,2
245,1
439,3
380,2
649,2
403,4
425,3
628,1
456,1
463,5
348,2
34,6
745,1
547,3
289,2
19,3
223,4
428,2
683,1
487,3
279,1
462,1
374,1
540,2
314,4
229,3
488,5
42,7
218,9
379,3
305,5
283,1
532,4
408,4
366,2
137,15
201,8
336,5
839,1
210,8
21,2
654,1
525,2
247,4
419,1
631,1
426,3
372,3
280,3
452,1
254,3
215,7
583,1
716,1
347,3
68,8
443,1
285,6
611,1
388,2
563,4
457,3
2181,2
529,1
431,3
511,3
494,1
476,2
688,2
669,2
640,2
397,1
664,1
474,1
537,2
401,2
481,1
707,1
48,5
561,2
1062,1
762,1
323,2
1181,1
394,3
303,2
213,4
306,2
625,1
509,3
360,2
302,2
226,4
634,1
458,4
501,2
575,2
714,1
673,1
383,3
483,1
492,3
351,3
473,2
685,1
309,1
257,5
497,2
446,2
1090,1
469,3
584,1
275,2
411,4
370,4
28,3
506,1
398,1
282,4
589,1
30,7
586,1
233,4
479,2
434,4
296,1
564,2
328,3
318,2
334,3
956,1
733,1
7,4
234,8
939,1
566,1
363,1
423,3
678,2
1156,1
911,1
596,2
580,1
524,1
410,4
354,2
386,4
620,1
449,2
26,4
349,2
356,1
315,2
567,1
658,1
307,2
579,1
2180,1
550,1
250,3
582,1
553,2
646,1
300,2
1057,1
325,4
22,5
228,5
327,2
227,3
435,1
560,1
333,1
522,1
1267,1
900,1
377,2
533,1
466,4
441,1
335,1
472,2
491,2
527,1
451,1
404,2
331,2
899,1
490,2
512,2
504,2
1620,1
344,1
268,1
293,2
23,2
755,1
1067,1
551,1
514,1
552,1
301,1
651,1
263,1
286,2
1109,1
895,1
535,2
536,2
946,1
407,2
619,2
465,4
846,1
656,2
852,1
414,1
1323,1
698,1
429,2
921,1
750,1
442,3
330,2
395,1
741,1
831,1
265,1
412,1
677,1
765,1
585,1
1529,1
644,1
269,3
881,1
1670,1
1022,1
627,1
252,1
453,1
805,1
990,1
844,1
437,1
482,1
496,1
825,1
545,1
298,1
761,1
2130,1
392,1
557,1
602,1
653,1
364,1
406,1
418,1
728,1
340,1
