words,count
90,40
58,27
34,14
81,39
106,48
105,47
132,16
102,41
256,3
96,56
113,33
100,60
828,1
57,38
116,29
43,20
184,7
217,3
287,4
238,5
222,6
48,22
107,38
3,4
98,48
92,45
78,33
36,29
402,3
39,17
117,43
99,50
62,22
89,51
135,23
130,14
200,3
114,35
14,4
101,45
23,16
72,44
118,32
145,8
120,30
24,10
93,37
50,25
112,40
129,22
49,24
159,4
426,2
35,22
399,1
95,39
87,39
435,2
52,24
86,32
284,5
189,4
5,21
97,43
6,34
921,1
151,11
309,5
82,41
422,1
59,25
327,2
247,9
109,36
85,34
170,8
94,42
61,26
337,4
188,8
453,1
225,6
60,28
67,33
77,28
268,3
20,7
157,10
252,6
213,2
358,3
667,1
520,1
65,27
68,23
75,41
128,16
103,54
251,4
28,14
234,5
91,35
340,1
53,33
104,43
126,21
51,32
44,30
165,7
147,9
278,6
1257,1
73,30
29,17
332,2
22,12
192,5
204,3
7,22
9,10
54,40
111,33
446,1
142,8
304,4
180,5
56,20
354,1
319,3
41,24
70,33
218,6
80,29
45,20
176,7
401,1
162,11
291,6
37,21
38,28
438,1
30,19
285,6
12,10
108,39
125,18
115,27
174,7
179,6
215,4
71,25
79,28
197,4
84,33
64,23
205,5
181,5
1102,1
121,26
300,5
164,4
136,11
156,6
69,37
212,4
315,3
386,2
122,20
76,19
4,11
139,5
119,30
152,8
137,7
46,24
677,1
409,1
221,4
154,8
74,26
275,3
140,10
83,21
231,4
1847,1
266,3
209,5
430,2
88,41
15,4
167,7
55,27
146,9
124,16
110,37
273,3
155,4
8,16
123,18
141,13
288,2
267,3
294,4
328,4
143,9
227,2
134,13
324,2
131,11
127,17
31,17
138,5
463,2
311,5
490,1
240,5
16,10
796,1
178,5
323,2
19,10
18,9
47,18
301,4
194,3
334,1
144,12
280,2
650,1
219,2
63,22
17,12
434,2
242,3
425,1
32,12
224,2
246,1
21,10
160,8
1233,1
228,3
25,15
208,2
183,6
312,3
631,1
26,7
555,1
40,23
260,6
168,5
428,2
229,6
274,5
42,24
171,8
232,2
191,8
148,5
214,2
248,4
279,2
13,8
877,1
66,19
133,17
149,6
1048,1
27,9
286,3
198,5
265,5
374,3
269,8
257,9
258,4
211,3
376,2
153,8
436,1
187,3
172,5
308,2
199,6
33,14
282,8
292,4
289,2
316,1
298,4
362,2
325,3
410,2
261,3
514,2
557,1
355,2
255,3
416,1
320,3
210,3
444,2
299,5
396,1
488,1
317,3
293,1
363,1
254,7
2,1
277,3
302,4
195,3
276,2
207,4
378,1
318,2
389,1
196,1
203,3
605,1
182,3
4011,1
161,5
305,1
150,3
439,2
468,1
250,3
190,2
223,4
321,3
11,6
353,1
253,5
398,2
508,3
1231,3
590,1
249,2
303,3
387,2
481,2
283,3
264,4
499,1
417,2
271,2
338,3
613,1
458,1
193,5
739,1
206,7
10,2
424,2
233,4
413,3
357,1
175,5
392,1
407,1
259,4
243,3
272,5
262,5
440,2
163,6
830,1
335,2
169,1
245,2
186,4
347,3
366,1
201,4
330,3
177,5
166,3
624,1
411,2
554,1
618,1
331,3
388,2
793,1
523,2
361,2
236,1
173,1
296,1
342,1
244,3
390,1
158,3
326,1
307,1
380,2
202,5
230,2
609,1
842,1
589,1
647,1
290,5
493,1
237,2
263,3
235,1
1005,1
270,2
360,1
391,1
492,1
216,4
681,1
322,1
1195,1
394,1
704,1
570,1
518,1
432,1
297,3
241,2
548,1
511,1
400,1
517,1
349,1
844,1
784,1
350,2
375,1
526,1
1066,1
346,1
313,4
640,1
220,2
226,1
414,1
460,1
1188,1
372,1
512,1
1137,1
587,1
329,1
478,1
1316,1
383,1
487,1
466,1
