words,count
101,37
65,28
43,16
91,42
113,38
89,32
136,25
108,43
253,2
102,45
119,44
758,1
71,22
121,43
47,21
158,7
116,44
219,5
235,4
112,53
322,7
247,5
231,3
62,25
118,30
7,7
94,30
81,41
41,24
487,2
124,33
48,24
106,51
141,10
99,43
149,11
156,6
122,29
21,17
87,24
26,12
110,36
97,48
125,25
130,26
76,32
129,25
184,6
32,11
86,38
64,24
114,55
57,18
417,2
171,8
109,62
154,9
470,1
131,18
61,43
23,4
100,38
103,49
299,1
209,9
35,22
133,28
11,8
95,30
10,22
135,15
292,6
6,5
181,3
343,2
84,31
433,2
69,25
132,18
371,2
279,3
93,35
70,31
165,4
44,20
380,4
193,4
494,1
13,12
255,5
42,25
79,32
75,38
297,7
66,25
9,27
302,7
226,4
340,1
550,2
211,1
55,20
105,45
143,12
260,6
123,30
80,24
330,3
117,35
134,15
49,21
155,7
152,9
1228,1
28,9
318,3
190,8
120,32
12,15
56,27
374,1
341,3
178,3
381,2
354,2
52,25
4,2
115,36
63,17
82,32
78,25
251,1
31,11
58,32
50,24
98,40
90,26
207,5
432,1
174,3
51,25
331,3
144,10
88,32
157,9
111,50
92,39
40,21
324,4
128,28
68,30
127,31
54,23
244,7
72,17
212,4
53,29
261,1
195,10
338,5
304,6
163,6
167,6
39,26
218,4
145,20
77,20
309,6
430,1
150,10
325,1
147,6
146,12
223,3
358,2
310,5
217,4
176,6
74,23
315,5
142,11
104,44
96,36
298,5
1996,1
263,6
238,3
17,6
188,3
139,13
107,34
249,4
210,2
194,6
83,26
166,6
8,27
20,11
329,3
221,1
312,1
316,5
254,6
73,27
33,12
126,20
359,2
137,22
38,15
220,6
323,5
514,1
85,33
140,14
320,3
846,1
200,8
67,29
36,14
164,6
342,7
24,5
27,7
22,11
288,4
192,4
59,26
242,2
204,5
368,1
180,5
308,3
45,20
186,6
652,1
19,7
465,1
37,16
213,4
472,1
198,7
215,5
29,13
177,5
1302,1
270,3
185,3
712,1
645,1
46,15
25,7
480,1
266,3
241,3
175,5
208,4
189,4
148,17
60,25
284,4
14,3
30,8
960,1
268,5
451,2
34,12
239,2
161,11
214,3
434,4
287,3
257,6
378,2
197,5
535,1
518,1
159,4
296,2
336,1
327,2
313,3
350,2
170,10
474,1
337,4
269,6
240,3
168,4
348,4
357,1
643,1
627,1
138,10
274,1
409,2
290,3
311,4
267,4
273,2
332,2
391,1
230,2
179,5
485,1
370,4
385,2
276,5
2,1
162,10
455,1
234,4
326,1
356,1
360,1
151,7
205,1
228,3
201,6
570,1
372,2
272,6
203,6
1660,1
16,6
404,1
334,2
264,4
450,2
387,2
18,5
443,1
428,3
265,1
280,4
248,2
420,1
1400,1
335,3
172,3
283,3
286,4
305,1
449,1
421,1
262,1
243,2
437,2
256,3
447,2
294,3
386,1
654,1
355,3
490,2
797,1
233,3
317,3
229,1
183,3
435,2
392,1
436,1
291,4
328,5
352,4
488,1
307,2
275,4
344,1
453,1
511,1
191,3
749,1
306,2
383,1
339,2
258,6
246,2
293,1
399,1
389,2
232,3
301,2
384,2
303,3
225,2
224,2
630,1
289,2
5,2
589,2
361,1
271,3
423,1
760,1
528,1
314,2
376,1
160,4
319,1
245,4
419,1
1399,2
460,1
429,1
379,1
416,1
169,4
689,1
216,2
300,2
865,1
250,1
633,1
187,4
282,1
278,2
597,1
206,2
252,1
321,2
1042,1
173,5
227,1
400,1
15,3
440,1
507,1
222,1
663,1
353,2
351,3
202,3
546,1
281,3
706,1
573,1
364,1
196,1
557,1
182,2
532,1
857,1
407,1
362,1
582,1
471,1
483,1
153,4
346,3
363,2
373,1
457,1
501,1
367,1
1032,1
393,1
524,1
1119,1
603,1
554,1
622,1
559,1
285,1
377,1
199,2
349,1
519,1
442,1
398,1
1358,1
259,1
431,1
473,1
