,descriptions,id,scores
0,<START> 坏 姐 姐 拆 婚 联 盟 黄 珊 名 职 业 占 星 师 日 知 身 处 韩 国 弟 弟 黄 峰 友 步 入 婚 姻 殿 堂 孩 星 盘 黄 峰 克 星 心 急 焚 黄 珊 想 没 想 登 驶 异 国 飞 机 势 必 拆 散 飞 机 喝 醉 黄 珊 邂 逅 名 朴 俊 昊 子 误 误 撞 竟 然 毁 婚 计 划 朴 俊 昊 盘 托 知 深 藏 露 叔 真 实 身 竟 然 准 弟 媳 妇 父 亲 黄 珊 没 想 朴 俊 昊 竟 然 加 入 毁 婚 行 动 吵 吵 闹 闹 间 颗 寂 寞 心 灵 渐 渐 近 碰 撞 灿 烂 爱 情 火 花 豆 瓣 <UNK> <UNK> <UNK> <UNK> 陈意涵 池珍熙 陈学冬 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25907004,1
1,<START> 美 国 城 海 世 纪 球 贸 易 心 天 外 籍 商 海 渴 解 国 生 意 方 式 些 外 国 事 老 板 邻 居 客 户 雄 心 勃 勃 纽 约 律 师 山 姆 意 外 派 海 立 陷 入 法 律 泥 潭 使 差 点 丢 工 作 聪 明 性 感 助 理 机 灵 海 记 漂 亮 迁 居 专 家 脉 广 泛 老 辈 帮 助 山 姆 机 保 住 工 作 寻 找 爱 情 学 欣 赏 美 好 乡 豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 耿乐 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,6972876,1
2,<START> 变 形 金 终 极 战 士 港 汽 车 霸 天 虎 断 战 争 球 带 莫 伤 害 球 国 联 合 成 立 反 应 队 针 变 形 金 无 正 邪 律 绞 杀 擎 天 柱 交 甚 密 球 凯 德 伊 格 尔 顾 身 反 政 府 压 力 力 黄 蜂 钢 锁 汽 车 提 供 庇 护 场 期 间 无 意 枚 徽 章 危 机 引 身 失 踪 擎 天 柱 飘 回 赛 博 坦 变 形 金 创 造 昆 塔 沙 捕 获 黑 化 命 返 回 球 寻 找 高 无 权 杖 毁 灭 球 复 兴 赛 博 坦 威 震 天 球 政 府 达 成 协 议 联 合 追 寻 凯 德 盟 友 踪 迹 目 标 样 曾 属 魔 法 师 梅 林 权 杖 球 真 正 危 机 终 降 豆 瓣 <UNK> Mark <UNK> <UNK> 马克·沃尔伯格 <UNK> <UNK> 迈克尔·贝 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824686,1
3,<START> 力 扣 <UNK> 吴 久 秀 曾 名 分 专 业 羽 毛 球 运 动 员 技 术 分 然 场 意 外 放 弃 事 业 生 步 入 低 谷 窝 囊 落 魄 日 偶 然 邋 邋 遢 遢 浑 浑 噩 噩 吴 久 秀 遇 见 混 混 刘 丹 朋 友 刘 丹 然 外 表 吊 儿 郎 正 实 拥 颗 善 良 心 吴 久 秀 成 刘 丹 行 羽 毛 球 教 练 传 授 技 艺 程 吴 久 秀 渐 渐 找 回 叱 咤 风 云 感 觉 决 定 好 好 生 活 刘 丹 亦 运 动 挥 洒 汗 水 找 生 活 希 意 义 羽 毛 球 窍 通 门 外 汉 吴 久 秀 调 教 竟 模 样 豆 瓣 <UNK> <UNK> <UNK> <UNK> 郑伊健 郑中基 郭子健 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824853,1
5,<START> 兰 心 剧 院 电 影 根 虹 影 海 死 横 光 利 海 改 编 著 名 员 <UNK> 返 回 孤 岛 期 海 表 面 旧 爱 执 导 话 剧 礼 拜 真 正 目 什 救 夫 盟 军 搜 集 情 报 养 父 工 作 爱 逃 战 争 真 正 使 命 什 手 执 行 务 敌 越 越 难 分 辨 命 运 代 紧 紧 牵 引 改 变 世 界 格 局 选 择 戏 戏 外 幸 免 <UNK> <UNK> 巩俐 赵又廷 小田切让 娄烨 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26954859,1
7,<START> 风 语 咒 生 活 孝 阳 岗 少 郎 明 怀 揣 侠 岚 梦 想 双 眼 失 明 招 摇 撞 骗 混 市 井 直 天 罗 刹 袭 击 孝 阳 岗 相 命 母 亲 突 然 失 踪 郎 明 迫 踏 找 寻 真 相 路 波 未 平 波 古 神 兽 饕 餮 现 世 间 危 旦 夕 传 侠 岚 现 眼 郎 明 踏 改 变 生 险 旅 <UNK> 路知行 <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,30146756,1
8,<START> 荡 寇 风 云 影 讲 述 代 名 戚 继 光 南 征 倭 寇 海 平 传 奇 事 明 期 嘉 靖 间 方 官 府 腐 败 明 兵 军 心 整 倭 寇 虚 入 屡 次 进 犯 东 南 海 正 值 忧 外 患 际 戚 继 光 危 受 命 俞 猷 行 招 募 千 义 乌 村 民 短 短 数 日 严 明 军 纪 非 常 手 段 操 练 新 兵 进 武 器 精 绝 阵 法 武 装 队 成 史 首 支 特 种 队 闻 名 外 戚 家 军 <UNK> <UNK> <UNK> <UNK> 赵文卓 洪金宝 万茜 陈嘉上 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26385746,1
9,<START> 龙 拳 子 影 讲 述 美 国 长 林 秋 楠 带 超 级 英 雄 梦 回 国 舅 舅 袁 共 生 活 直 相 信 顾 好 脆 弱 舅 舅 独 特 思 维 方 式 身 功 夫 反 校 园 生 活 舅 舅 恋 情 添 乱 知 觉 卷 入 桩 国 际 罪 案 场 惊 心 动 魄 决 难 避 免 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26721322,1
10,<START> 強 囍 事 强 囍 事 豆 瓣 官 方 站 化 妆 师 沈 美 档 电 视 节 目 现 尴 尬 原 平 素 娘 娘 腔 生 活 直 伪 装 化 妆 学 校 学 郑 宇 强 深 圳 家 美 容 专 柜 化 妆 师 高 超 技 巧 赢 无 数 粉 丝 惟 独 没 俘 获 初 恋 友 戴 梦 妮 芳 心 写 总 通 易 容 贴 近 物 陈 奇 侠 石 油 亨 唯 怕 友 观 电 视 节 目 成 沈 美 粉 丝 夫 妻 俩 联 手 沈 美 签 合 成 化 妆 品 公 司 沈 美 钱 动 走 马 发 现 公 司 事 清 色 美 身 娘 子 军 朴 实 助 理 简 洁 次 偶 然 机 游 艇 王 子 滑 溜 溜 简 洁 开 始 约 常 受 滑 溜 溜 友 骚 扰 程 沈 美 逐 渐 发 现 简 洁 美 豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 张柏芝 古天乐 甄子丹 陈庆嘉 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,5250583,1
11,<START> 爱 情 公 寓 月 亮 心 电 台 改 成 盗 墓 笔 记 深 夜 广 播 剧 曾 贤 读 盗 墓 笔 记 曾 贤 胡 菲 吕 子 乔 张 伟 唐 悠 悠 陈 美 嘉 事 继 续 展 开 次 算 搞 事 情 曾 贤 次 梦 爱 情 公 寓 伙 伴 误 误 撞 进 入 盗 墓 笔 记 世 界 盗 墓 笔 记 组 抗 反 派 黄 黑 红 保 护 青 铜 门 <UNK> <UNK> 陈赫 袁弘 <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,24852545,1
