,descriptions,id,scores
0,<START> 坏 姐姐 <UNK> 联盟 黄二珊 一名 职业 <UNK> 某日 得知 身处 韩国 弟弟 黄 一峰 即将 女友 步入 婚姻 殿堂 女孩 <UNK> 却是 黄 一峰 克星 心急如焚 黄二珊 想 <UNK> 登上 <UNK> 异国 飞机 <UNK> 两人 拆散 飞机 <UNK> 黄二珊 邂逅 名为 朴俊昊 男子 误打误撞 之中 竟然 毁婚 计划 朴俊昊 <UNK> 这位 深藏不露 大叔 真实 身份 竟然 <UNK> 媳妇 父亲 黄二珊 想到 朴俊昊 竟然 毁婚 之中 <UNK> 两颗 寂寞 心灵 渐渐 靠近 碰撞 灿烂 爱情 火花 <UNK> <UNK> <UNK> <UNK> 陈意涵 池珍熙 陈学冬 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25907004,1
1,<START> 美国 城 上海 21 世纪 全球 <UNK> 外籍 商人 来到 上海 渴望 中国 做生意 方式 <UNK> 中有 同事 老板 邻居 客户 … … <UNK> 纽约 律师 山姆 意外 派 上海 陷入 法律 <UNK> 使 <UNK> 丢 工作 一位 聪明 性感 助理 一个 机灵 上海 一位 漂亮 迁居 专家 一个 <UNK> <UNK> 山姆 机会 保住 工作 寻找 爱情 <UNK> 欣赏 美好 故乡 … … <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> Bill <UNK> <UNK> <UNK> <UNK> 耿乐 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,6972876,1
2,<START> 变形金刚 终极 战士 港 汽车 霸天虎 <UNK> 战争 地球 带来 莫大 伤害 为此 地球 各国 联合 成立 部队 针对 变形金刚 正邪 一律 <UNK> 擎天柱 交往甚密 地球 凯德 • <UNK> 不顾 身边 反对 政府 压力 以一己 之力 大黄蜂 <UNK> 汽车 提供 庇护 场所 期间 无意 一枚 <UNK> 危机 引向 失踪 擎天柱 <UNK> <UNK> <UNK> 变形金刚 <UNK> <UNK> 捕获 <UNK> 命令 返回 地球 寻找 <UNK> 权杖 毁灭 地球 <UNK> <UNK> 威震 天 地球 政府 <UNK> 联合 追寻 凯德 盟友 踪迹 目标 曾 魔法师 <UNK> 权杖 地球 危机 终于 降临 … … <UNK> Mark <UNK> <UNK> 马克·沃尔伯格 <UNK> <UNK> 迈克尔·贝 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824686,1
3,<START> 全力 <UNK> 吴久秀 曾 一名 专业 羽毛球 运动员 技术 一场 意外 放弃 事业 人生 步入 低谷 过得 <UNK> 落魄 某日 偶然 之中 邋 邋遢 遢 浑浑噩噩 吴久秀 遇见 小混混 刘丹 朋友 刘丹 外表 看起来 吊儿郎当 <UNK> 拥有 一颗 善良 心 吴久秀 刘丹 一行 羽毛球 教练 <UNK> 技艺 过程 吴久秀 渐渐 找回 叱咤风云 感觉 好好 对待 生活 对待 刘丹 亦 运动 挥洒 汗水 之中 找到 生活 希望 意义 三个 羽毛球 一窍不通 <UNK> 吴久秀 调教 之下 竟 有模有样 <UNK> <UNK> <UNK> <UNK> 郑伊健 郑中基 郭子健 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824853,1
5,<START> <UNK> 剧院 电影 <UNK> 上海 之死 <UNK> <UNK> 上海 改编 1941 著名演员 <UNK> 返回 孤岛 时期 上海 表面 出演 旧 爱 执导 话剧 <UNK> 小说 目的 救出 前夫 <UNK> <UNK> 养父 工作 爱人 逃离 战争 使命 ? 着手 执行 敌我 越来越 难以 <UNK> 一个 女人 命运 时代 紧紧 <UNK> 做出 改变 世界 格局 选择 ? <UNK> <UNK> <UNK> ? <UNK> <UNK> 巩俐 赵又廷 小田切让 娄烨 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26954859,1
7,<START> <UNK> 咒 生活 孝阳岗 <UNK> 明 怀揣 <UNK> 梦想 双眼 失明 只能靠 招摇撞骗 <UNK> 市井 之中 罗刹 袭击 孝阳岗 相依为命 母亲 失踪 郎明 迫不得已 踏上 找寻 真相 路 一波未平 一波又起 上古 <UNK> 饕餮 现世 人间 危在旦夕 传说 <UNK> 眼前 郎明 踏上 改变 一生 冒险 之旅 … … <UNK> 路知行 <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,30146756,1
8,<START> <UNK> 风云 影片 讲述 一代 <UNK> 戚继光 <UNK> 倭寇 沿海 太平 传奇 故事 <UNK> 嘉靖 年间 地方 官府 腐败 <UNK> 军心 <UNK> 倭寇 <UNK> 屡次 <UNK> 东南 沿海 正值 内忧外患 之际 戚继光 临危受命 俞大猷 自行 招募 三千 <UNK> 村民 短短 数日 之内 <UNK> <UNK> 手段 操练 新兵 <UNK> <UNK> <UNK> <UNK> 史上 <UNK> 特种部队 <UNK> 戚家军 <UNK> <UNK> <UNK> <UNK> 赵文卓 洪金宝 万茜 陈嘉上 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26385746,1
9,<START> <UNK> 小子 影片 讲述 从小 美国 长大 林秋楠 带 超级 英雄 梦 回到 中国 舅舅 <UNK> 生活 照顾 好 脆弱 舅舅 独特 思维 方式 一身 功夫 反而 校园生活 舅舅 恋情 <UNK> 知觉 卷入 一桩 国际 罪案 一场 惊心动魄 对决 <UNK> … … <UNK> <UNK> <UNK> <UNK> <UNK> 林秋楠 <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26721322,1
10,<START> <UNK> 囍 事 最强 囍 事 官方 小站 http site douban com <UNK> 化妆师 沈美 一档 电视节目 尴尬 <UNK> 娘娘腔 生活 伪装 化妆 学校 同学 <UNK> 深圳 一家 美容 <UNK> 化妆师 高超 技巧 赢得 无数 粉丝 惟独 俘获 初恋女友 <UNK> 芳心 后者 写 小说 <UNK> <UNK> 人物 <UNK> <UNK> 大亨 唯一 怕 女友 <UNK> 后者 观看 电视节目 成 沈 美的 粉丝 夫妻俩 联手 沈美 签下 <UNK> 成 <UNK> CEO <UNK> 钱 <UNK> 走马上任 发现 同事 <UNK> 美女 身为 <UNK> 一个 朴实 助理 简洁 偶然 机会 <UNK> 王子 滑溜溜 <UNK> 简洁 两人 约会 滑溜溜 前女友 <UNK> 骚扰 过程 沈美 发现 简洁 与众不同 美 … … <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 张柏芝 古天乐 甄子丹 陈庆嘉 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,5250583,1
11,<START> 爱情 公寓 月亮 心 电台 临时 改成 盗墓 笔记 深夜 <UNK> 曾小贤 不得不 读 盗墓 笔记 曾小贤 <UNK> <UNK> 乔 张伟 唐 <UNK> <UNK> 故事 展开 打算 <UNK> 事情 曾 <UNK> 梦中 爱情 公寓 伙伴 误打误撞 盗墓 笔记 世界 盗墓 笔记 三人组 对抗 反派 黄 <UNK> 保护 <UNK> 门 <UNK> <UNK> 陈赫 袁弘 <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,24852545,1
