,descriptions,id,scores
0,<START> 坏 姐姐 <UNK> 联 盟 黄 二珊 名 职业 <UNK> 师 某日 得知 身处 韩国 弟弟 黄 一峰 即将 女友 步入 婚姻 殿堂 女孩 <UNK> 黄 一峰 <UNK> 急如 焚 <UNK> <UNK> 没想 登上 <UNK> 异国 飞机 势 <UNK> 拆散 飞机 <UNK> 黄 二珊 邂逅 名为 朴 俊昊 男子 误打 误撞 之中 竟然 计 <UNK> 朴 俊昊 <UNK> 这位 深藏 不露 大叔 真实 身份 竟然 <UNK> 媳妇 父亲 黄 二珊 没 想到 朴 俊昊 竟然 <UNK> 之中 <UNK> 闹闹 间 两颗 寂寞 心灵 渐 渐 碰 撞出 灿烂 爱情 火花 <UNK> <UNK> <UNK> <UNK> 陈意涵 池珍熙 陈学冬 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25907004,1
1,<START> 美国 城 上海 21 世纪 全球 <UNK> 中心 更多 外籍 商 来到 上海 渴望 解到 中国 生意 方式 外国 同事 老板 邻居 客户 雄心 <UNK> 纽 <UNK> <UNK> 意外 派到 上海 陷入 法律 <UNK> 使 <UNK> 丢 工作 聪明 性感 助理 机灵 上海 漂亮 迁居 专家 <UNK> <UNK> 辈 山姆 机会 保住 工作 寻 找到 爱情 <UNK> <UNK> 赏 美好 故乡 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> Bill <UNK> <UNK> <UNK> <UNK> 耿乐 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,6972876,1
2,<START> 变形 金 终 极 战士 港 汽车 霸天 虎 战争 地球 带来 莫大 伤害 地球 各国 联合 成立 部队 针 变 <UNK> 无 正 邪 律 绞 杀 <UNK> 天柱 交往 甚密 地球 凯 <UNK> 不顾 身边 反对 政府 压力 一己 力 黄蜂 <UNK> 汽车 提供 庇护 场 间 无意 枚 <UNK> 危机 引 失踪 擎 天柱 飘 <UNK> <UNK> 变形 金刚 创造 <UNK> 捕获 <UNK> 命令 返回 地球 寻 找 <UNK> <UNK> 毁灭 地球 兴 <UNK> 震天 地球 政府 达成 协 联合 追寻 凯德 盟友 踪迹 目标 曾 属 魔法 师 <UNK> 权 地球 危机 终 降临 <UNK> Mark <UNK> <UNK> 马克·沃尔伯格 <UNK> <UNK> 迈克尔·贝 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824686,1
3,<START> 全力 <UNK> 吴久 秀 曾 名 专业 羽毛 球 运 动 员 技术 场 意外 放弃 事业 人生 步入 低谷 过得 <UNK> <UNK> <UNK> 某日 偶然 之中 邋 邋 遢 遢 浑 浑 噩噩 吴 久秀 遇见 混混 刘丹 朋友 刘丹 外表 看起 <UNK> <UNK> <UNK> 实 拥 <UNK> 善良 吴 久秀 刘丹 行人 羽毛 球 教练 <UNK> 技艺 过程 吴久 <UNK> 渐 找回 叱咤 风云 感觉 好好 对待 生活 对待 刘丹 亦 运动 挥洒 汗水 之中 找到 生活 希望 意义 羽毛 球 窍 不通 <UNK> 汉 吴久 秀 调教 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 郑伊健 郑中基 郭子健 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25824853,1
5,<START> 兰心 剧院 电影 <UNK> 上海 死 <UNK> 上海 改编 1941 著 名 演员 <UNK> 返回 孤岛 时期 上海 表面 出演 旧爱 执导 话剧 <UNK> 目的 救出 前夫 <UNK> 军 搜集 情报 养父 工作 爱人 逃离 战争 使命 手 执 行任 务 敌 越来越 难 <UNK> 女人 命运 时代 紧紧 <UNK> 做出 改变 世界 格局 选择 <UNK> 戏 外 谁能 幸免 <UNK> <UNK> 巩俐 赵又廷 小田切让 娄烨 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26954859,1
7,<START> <UNK> 咒 生活 孝阳 <UNK> 少年 郎 <UNK> 揣 侠岚 梦想 双眼 失明 只能 招摇 撞骗 <UNK> 市井 之中 天 罗 刹 袭 击 孝阳 相依 为命 母亲 失踪 <UNK> 踏上 找寻 真相 路 波 未平 波 <UNK> 兽 饕餮 现世 人间 危在 旦夕 传说 侠岚 眼前 踏上 改变 生 冒险 <UNK> 路知行 <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,30146756,1
8,<START> <UNK> 风云 影片 讲述 代 名 <UNK> 继 <UNK> 征 倭寇 沿海 太平 传奇 故事 中期 嘉靖 间 地方 官府 腐败 <UNK> 军心 <UNK> 倭寇 <UNK> 屡 次 进 犯 东 南 沿海 正值 忧 <UNK> 之际 继 <UNK> 危受 俞 <UNK> 自行 招募 <UNK> 乌 村民 <UNK> <UNK> <UNK> <UNK> 手段 操练 <UNK> 先进 武器 <UNK> 阵 <UNK> 装 队 <UNK> <UNK> 特种 闻名 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 赵文卓 洪金宝 万茜 陈嘉上 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26385746,1
9,<START> 龙 <UNK> 子 影片 讲述 美国 长大 林 <UNK> 带 超级 英雄 回到 中国 舅舅 袁 <UNK> <UNK> 活并 照顾 脆 <UNK> 独特 思维 方式 一身 功夫 反而 校园 生活 舅舅 恋情 <UNK> 知觉 卷 入 桩 国际 罪案 场 惊心 动魄 对决 难 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26721322,1
10,<START> <UNK> 囍事 最强 囍事 官方 小站 化妆 师 沈 美 档 电视 节 目时 尴尬 来平 素 娘娘 腔 生活 伪装 化妆 学校 同学 <UNK> 强 深圳 家 美容 <UNK> 化 妆 师 高超 技巧 赢得 无 数 粉丝 <UNK> <UNK> 俘获 初 恋 女友 <UNK> 芳心 写 总 易容 <UNK> 人物 <UNK> 侠 <UNK> 唯一 怕 女友 <UNK> 观 <UNK> 视 节目 沈 美 粉丝 俩 联 沈 <UNK> 合同 化 <UNK> CEO 沈 <UNK> 钱 动 走马 上任 现 同事 清 色 都是 美女 <UNK> 军 一个 朴实 助理 简 洁 次 偶然 机会 <UNK> 王子 滑溜 溜 看上 简洁 <UNK> 滑溜 <UNK> 女友 <UNK> 骚扰 过程 沈 <UNK> 发现 简洁 与众 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 张柏芝 古天乐 甄子丹 陈庆嘉 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,5250583,1
11,<START> 爱情 公寓 月亮 <UNK> 台 临时 改成 盗墓 笔记 深夜 广播 剧 曾 小贤 不去 读 盗 <UNK> 记 曾 小贤 胡 <UNK> <UNK> 乔 张伟 唐 <UNK> 陈 <UNK> 故事 继 <UNK> 开 次 打算 <UNK> 事情 曾 小贤 次 梦中 爱情 公寓 伙伴 误打 误撞 盗墓 笔记 世界 们与 盗墓 笔记 组 对抗 反派 黄 <UNK> 保护 青铜 门 <UNK> <UNK> 陈赫 袁弘 <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,24852545,1
